"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
26 Mar 2027 09:50:54.610,26 Mar 2027 10:52:16.660,3682.050,23 Mar 2027 17:25:55.567,23 Mar 2027 17:26:05.066,9.498,26 Mar 2027 09:16:40.240,26 Mar 2027 09:50:45.185,2044.945
26 Mar 2027 11:26:40.553,26 Mar 2027 12:28:02.542,3681.990,23 Mar 2027 18:00:07.507,23 Mar 2027 18:00:16.977,9.470,26 Mar 2027 10:52:26.121,26 Mar 2027 11:26:31.129,2045.008
26 Mar 2027 13:02:26.496,26 Mar 2027 14:03:48.425,3681.929,23 Mar 2027 19:01:41.446,23 Mar 2027 19:01:50.943,9.497,26 Mar 2027 12:28:12.003,26 Mar 2027 13:02:17.073,2045.070
26 Mar 2027 14:38:12.440,26 Mar 2027 15:39:34.308,3681.868,23 Mar 2027 19:35:53.447,23 Mar 2027 19:36:02.915,9.469,26 Mar 2027 14:03:57.885,26 Mar 2027 14:38:03.015,2045.130
26 Mar 2027 16:13:58.383,26 Mar 2027 17:15:20.191,3681.808,23 Mar 2027 20:37:27.324,23 Mar 2027 20:37:36.821,9.496,26 Mar 2027 15:39:43.767,26 Mar 2027 16:13:48.962,2045.195
26 Mar 2027 17:49:44.329,26 Mar 2027 18:51:06.074,3681.744,23 Mar 2027 21:11:39.390,23 Mar 2027 21:11:48.857,9.467,26 Mar 2027 17:15:29.649,26 Mar 2027 17:49:34.904,2045.255
26 Mar 2027 19:25:30.270,26 Mar 2027 20:26:51.957,3681.687,23 Mar 2027 22:13:13.203,23 Mar 2027 22:13:22.698,9.496,26 Mar 2027 18:51:15.531,26 Mar 2027 19:25:20.850,2045.319
26 Mar 2027 21:01:16.214,26 Mar 2027 22:02:37.843,3681.629,23 Mar 2027 22:47:25.327,23 Mar 2027 22:47:34.796,9.469,26 Mar 2027 20:27:01.413,26 Mar 2027 21:01:06.796,2045.383
26 Mar 2027 22:37:02.158,26 Mar 2027 23:38:23.724,3681.566,23 Mar 2027 23:48:59.081,23 Mar 2027 23:49:08.576,9.495,26 Mar 2027 22:02:47.295,26 Mar 2027 22:36:52.738,2045.443
27 Mar 2027 00:12:48.105,27 Mar 2027 01:14:09.607,3681.503,24 Mar 2027 00:23:11.267,24 Mar 2027 00:23:20.735,9.468,26 Mar 2027 23:38:33.178,27 Mar 2027 00:12:38.686,2045.508
27 Mar 2027 01:48:34.046,27 Mar 2027 02:49:55.491,3681.445,24 Mar 2027 01:24:44.960,24 Mar 2027 01:24:54.454,9.494,27 Mar 2027 01:14:19.060,27 Mar 2027 01:48:24.632,2045.571
27 Mar 2027 03:24:19.991,27 Mar 2027 04:25:41.374,3681.384,24 Mar 2027 01:58:57.210,24 Mar 2027 01:59:06.671,9.462,27 Mar 2027 02:50:04.943,27 Mar 2027 03:24:10.574,2045.631
27 Mar 2027 05:00:05.935,27 Mar 2027 06:01:27.258,3681.323,24 Mar 2027 03:00:30.839,24 Mar 2027 03:00:40.332,9.493,27 Mar 2027 04:25:50.826,27 Mar 2027 04:59:56.519,2045.693
